member_id,status,sex,age,tranche,tranche_label,tranche_pension
1,pensioner,M,73,pre97,Pre-1997,3840.926835021477
1,pensioner,M,73,9705,1997-2005,2880.6951262661078
1,pensioner,M,73,post05,Post-2005,2880.6951262661078
2,pensioner,M,75,pre97,Pre-1997,2788.0888440804497
2,pensioner,M,75,9705,1997-2005,2091.066633060337
2,pensioner,M,75,post05,Post-2005,2091.066633060337
3,pensioner,F,68,pre97,Pre-1997,4819.212243544361
3,pensioner,F,68,9705,1997-2005,3614.4091826582703
3,pensioner,F,68,post05,Post-2005,3614.4091826582703
4,pensioner,F,62,pre97,Pre-1997,8562.60745477889
4,pensioner,F,62,9705,1997-2005,6421.955591084167
4,pensioner,F,62,post05,Post-2005,6421.955591084167
5,pensioner,F,82,pre97,Pre-1997,9109.631339686512
5,pensioner,F,82,9705,1997-2005,6832.223504764883
5,pensioner,F,82,post05,Post-2005,6832.223504764883
6,pensioner,M,77,pre97,Pre-1997,670.9149745170341
6,pensioner,M,77,9705,1997-2005,503.18623088777554
6,pensioner,M,77,post05,Post-2005,503.18623088777554
7,pensioner,M,73,pre97,Pre-1997,10730.009720772232
7,pensioner,M,73,9705,1997-2005,8047.507290579173
7,pensioner,M,73,post05,Post-2005,8047.507290579173
8,pensioner,M,75,pre97,Pre-1997,8094.100791800829
8,pensioner,M,75,9705,1997-2005,6070.575593850621
8,pensioner,M,75,post05,Post-2005,6070.575593850621
9,pensioner,F,66,pre97,Pre-1997,4092.0193840410643
9,pensioner,F,66,9705,1997-2005,3069.014538030798
9,pensioner,F,66,post05,Post-2005,3069.014538030798
10,pensioner,M,78,pre97,Pre-1997,3129.1387143789902
10,pensioner,M,78,9705,1997-2005,2346.8540357842426
10,pensioner,M,78,post05,Post-2005,2346.8540357842426
11,pensioner,M,81,pre97,Pre-1997,3096.7086852095636
11,pensioner,M,81,9705,1997-2005,2322.531513907172
11,pensioner,M,81,post05,Post-2005,2322.531513907172
12,pensioner,M,70,pre97,Pre-1997,2457.0548544746734
12,pensioner,M,70,9705,1997-2005,1842.7911408560049
12,pensioner,M,70,post05,Post-2005,1842.7911408560049
13,pensioner,F,69,pre97,Pre-1997,8290.556345034985
13,pensioner,F,69,9705,1997-2005,6217.917258776238
13,pensioner,F,69,post05,Post-2005,6217.917258776238
14,pensioner,M,61,pre97,Pre-1997,1971.312322223388
14,pensioner,M,61,9705,1997-2005,1478.484241667541
14,pensioner,M,61,post05,Post-2005,1478.484241667541
15,pensioner,M,73,pre97,Pre-1997,2219.1101245629466
15,pensioner,M,73,9705,1997-2005,1664.33259342221
15,pensioner,M,73,post05,Post-2005,1664.33259342221
16,pensioner,M,70,pre97,Pre-1997,1810.1308321248562
16,pensioner,M,70,9705,1997-2005,1357.5981240936421
16,pensioner,M,70,post05,Post-2005,1357.5981240936421
17,pensioner,F,65,pre97,Pre-1997,9790.69671653794
17,pensioner,F,65,9705,1997-2005,7343.022537403454
17,pensioner,F,65,post05,Post-2005,7343.022537403454
18,pensioner,M,79,pre97,Pre-1997,2485.3513681716545
18,pensioner,M,79,9705,1997-2005,1864.0135261287408
18,pensioner,M,79,post05,Post-2005,1864.0135261287408
19,pensioner,M,76,pre97,Pre-1997,1238.9581617031997
19,pensioner,M,76,9705,1997-2005,929.2186212773996
19,pensioner,M,76,post05,Post-2005,929.2186212773996
20,pensioner,F,91,pre97,Pre-1997,3085.2440696717113
20,pensioner,F,91,9705,1997-2005,2313.933052253783
20,pensioner,F,91,post05,Post-2005,2313.933052253783
21,pensioner,M,69,pre97,Pre-1997,3574.073745061236
21,pensioner,M,69,9705,1997-2005,2680.555308795927
21,pensioner,M,69,post05,Post-2005,2680.555308795927
22,pensioner,M,76,pre97,Pre-1997,867.0520415216423
22,pensioner,M,76,9705,1997-2005,650.2890311412317
22,pensioner,M,76,post05,Post-2005,650.2890311412317
23,pensioner,M,68,pre97,Pre-1997,978.2450805635495
23,pensioner,M,68,9705,1997-2005,733.6838104226621
23,pensioner,M,68,post05,Post-2005,733.6838104226621
24,pensioner,F,69,pre97,Pre-1997,6367.5661645542095
24,pensioner,F,69,9705,1997-2005,4775.674623415657
24,pensioner,F,69,post05,Post-2005,4775.674623415657
25,pensioner,M,70,pre97,Pre-1997,16568.325323640776
25,pensioner,M,70,9705,1997-2005,12426.243992730582
25,pensioner,M,70,post05,Post-2005,12426.243992730582
26,pensioner,F,67,pre97,Pre-1997,5030.357270824287
26,pensioner,F,67,9705,1997-2005,3772.7679531182152
26,pensioner,F,67,post05,Post-2005,3772.7679531182152
27,pensioner,M,67,pre97,Pre-1997,1462.2031916653414
27,pensioner,M,67,9705,1997-2005,1096.6523937490058
27,pensioner,M,67,post05,Post-2005,1096.6523937490058
28,pensioner,F,73,pre97,Pre-1997,3436.9256997164734
28,pensioner,F,73,9705,1997-2005,2577.694274787355
28,pensioner,F,73,post05,Post-2005,2577.694274787355
29,pensioner,M,81,pre97,Pre-1997,11345.589896486104
29,pensioner,M,81,9705,1997-2005,8509.192422364578
29,pensioner,M,81,post05,Post-2005,8509.192422364578
30,pensioner,F,68,pre97,Pre-1997,1444.1321532554882
30,pensioner,F,68,9705,1997-2005,1083.099114941616
30,pensioner,F,68,post05,Post-2005,1083.099114941616
31,pensioner,M,72,pre97,Pre-1997,5538.721552270962
31,pensioner,M,72,9705,1997-2005,4154.041164203221
31,pensioner,M,72,post05,Post-2005,4154.041164203221
32,pensioner,F,79,pre97,Pre-1997,1959.9398259266247
32,pensioner,F,79,9705,1997-2005,1469.9548694449684
32,pensioner,F,79,post05,Post-2005,1469.9548694449684
33,pensioner,M,73,pre97,Pre-1997,7467.871881908423
33,pensioner,M,73,9705,1997-2005,5600.903911431317
33,pensioner,M,73,post05,Post-2005,5600.903911431317
34,pensioner,M,72,pre97,Pre-1997,2612.661026081054
34,pensioner,M,72,9705,1997-2005,1959.49576956079
34,pensioner,M,72,post05,Post-2005,1959.49576956079
35,pensioner,M,68,pre97,Pre-1997,5210.692688679149
35,pensioner,M,68,9705,1997-2005,3908.0195165093614
35,pensioner,M,68,post05,Post-2005,3908.0195165093614
36,pensioner,F,78,pre97,Pre-1997,4031.247242995968
36,pensioner,F,78,9705,1997-2005,3023.435432246976
36,pensioner,F,78,post05,Post-2005,3023.435432246976
37,pensioner,M,69,pre97,Pre-1997,3173.8539145822415
37,pensioner,M,69,9705,1997-2005,2380.3904359366807
37,pensioner,M,69,post05,Post-2005,2380.3904359366807
38,pensioner,F,73,pre97,Pre-1997,10608.923092169483
38,pensioner,F,73,9705,1997-2005,7956.692319127111
38,pensioner,F,73,post05,Post-2005,7956.692319127111
39,pensioner,F,72,pre97,Pre-1997,1994.0098105868722
39,pensioner,F,72,9705,1997-2005,1495.507357940154
39,pensioner,F,72,post05,Post-2005,1495.507357940154
40,pensioner,F,65,pre97,Pre-1997,2901.4653005881123
40,pensioner,F,65,9705,1997-2005,2176.098975441084
40,pensioner,F,65,post05,Post-2005,2176.098975441084
41,pensioner,M,75,pre97,Pre-1997,2993.2562153184663
41,pensioner,M,75,9705,1997-2005,2244.9421614888493
41,pensioner,M,75,post05,Post-2005,2244.9421614888493
42,pensioner,F,81,pre97,Pre-1997,7082.931185814661
42,pensioner,F,81,9705,1997-2005,5312.198389360996
42,pensioner,F,81,post05,Post-2005,5312.198389360996
43,pensioner,M,76,pre97,Pre-1997,7353.089807196588
43,pensioner,M,76,9705,1997-2005,5514.81735539744
43,pensioner,M,76,post05,Post-2005,5514.81735539744
44,pensioner,F,77,pre97,Pre-1997,4439.802790005374
44,pensioner,F,77,9705,1997-2005,3329.8520925040298
44,pensioner,F,77,post05,Post-2005,3329.8520925040298
45,pensioner,F,71,pre97,Pre-1997,3968.0979668686887
45,pensioner,F,71,9705,1997-2005,2976.0734751515165
45,pensioner,F,71,post05,Post-2005,2976.0734751515165
46,pensioner,M,72,pre97,Pre-1997,3081.746925274097
46,pensioner,M,72,9705,1997-2005,2311.3101939555727
46,pensioner,M,72,post05,Post-2005,2311.3101939555727
47,pensioner,M,69,pre97,Pre-1997,8724.69566846819
47,pensioner,M,69,9705,1997-2005,6543.521751351142
47,pensioner,M,69,post05,Post-2005,6543.521751351142
48,pensioner,F,77,pre97,Pre-1997,5733.933331454438
48,pensioner,F,77,9705,1997-2005,4300.449998590828
48,pensioner,F,77,post05,Post-2005,4300.449998590828
49,pensioner,M,71,pre97,Pre-1997,3724.2372247578833
49,pensioner,M,71,9705,1997-2005,2793.177918568412
49,pensioner,M,71,post05,Post-2005,2793.177918568412
50,pensioner,F,85,pre97,Pre-1997,5907.984185927088
50,pensioner,F,85,9705,1997-2005,4430.988139445316
50,pensioner,F,85,post05,Post-2005,4430.988139445316
51,pensioner,M,72,pre97,Pre-1997,3178.7697642987423
51,pensioner,M,72,9705,1997-2005,2384.0773232240563
51,pensioner,M,72,post05,Post-2005,2384.0773232240563
52,pensioner,M,82,pre97,Pre-1997,2248.424553805312
52,pensioner,M,82,9705,1997-2005,1686.3184153539837
52,pensioner,M,82,post05,Post-2005,1686.3184153539837
53,pensioner,M,71,pre97,Pre-1997,916.9472441616077
53,pensioner,M,71,9705,1997-2005,687.7104331212057
53,pensioner,M,71,post05,Post-2005,687.7104331212057
54,pensioner,M,61,pre97,Pre-1997,17905.490570061476
54,pensioner,M,61,9705,1997-2005,13429.117927546107
54,pensioner,M,61,post05,Post-2005,13429.117927546107
55,pensioner,F,71,pre97,Pre-1997,6227.853879300499
55,pensioner,F,71,9705,1997-2005,4670.890409475373
55,pensioner,F,71,post05,Post-2005,4670.890409475373
56,pensioner,M,81,pre97,Pre-1997,1142.0991095613626
56,pensioner,M,81,9705,1997-2005,856.574332171022
56,pensioner,M,81,post05,Post-2005,856.574332171022
57,pensioner,M,79,pre97,Pre-1997,12127.885028625611
57,pensioner,M,79,9705,1997-2005,9095.913771469208
57,pensioner,M,79,post05,Post-2005,9095.913771469208
58,pensioner,M,75,pre97,Pre-1997,4270.5394605510455
58,pensioner,M,75,9705,1997-2005,3202.904595413284
58,pensioner,M,75,post05,Post-2005,3202.904595413284
59,pensioner,M,76,pre97,Pre-1997,6759.662669988268
59,pensioner,M,76,9705,1997-2005,5069.747002491201
59,pensioner,M,76,post05,Post-2005,5069.747002491201
60,pensioner,M,70,pre97,Pre-1997,3459.253698900113
60,pensioner,M,70,9705,1997-2005,2594.4402741750846
60,pensioner,M,70,post05,Post-2005,2594.4402741750846
61,pensioner,F,69,pre97,Pre-1997,4185.044307419925
61,pensioner,F,69,9705,1997-2005,3138.7832305649436
61,pensioner,F,69,post05,Post-2005,3138.7832305649436
62,pensioner,F,72,pre97,Pre-1997,6129.377798498252
62,pensioner,F,72,9705,1997-2005,4597.033348873689
62,pensioner,F,72,post05,Post-2005,4597.033348873689
63,pensioner,F,78,pre97,Pre-1997,1656.029907432407
63,pensioner,F,78,9705,1997-2005,1242.0224305743052
63,pensioner,F,78,post05,Post-2005,1242.0224305743052
64,pensioner,M,75,pre97,Pre-1997,3581.735103994256
64,pensioner,M,75,9705,1997-2005,2686.3013279956917
64,pensioner,M,75,post05,Post-2005,2686.3013279956917
65,pensioner,M,78,pre97,Pre-1997,3270.100458633253
65,pensioner,M,78,9705,1997-2005,2452.5753439749396
65,pensioner,M,78,post05,Post-2005,2452.5753439749396
66,pensioner,M,70,pre97,Pre-1997,9023.070838365535
66,pensioner,M,70,9705,1997-2005,6767.30312877415
66,pensioner,M,70,post05,Post-2005,6767.30312877415
67,pensioner,F,82,pre97,Pre-1997,9770.333335689322
67,pensioner,F,82,9705,1997-2005,7327.750001766991
67,pensioner,F,82,post05,Post-2005,7327.750001766991
68,pensioner,M,64,pre97,Pre-1997,4210.737749471581
68,pensioner,M,64,9705,1997-2005,3158.0533121036856
68,pensioner,M,64,post05,Post-2005,3158.0533121036856
69,pensioner,M,80,pre97,Pre-1997,14156.63496100461
69,pensioner,M,80,9705,1997-2005,10617.476220753457
69,pensioner,M,80,post05,Post-2005,10617.476220753457
70,pensioner,M,71,pre97,Pre-1997,5753.49330288666
70,pensioner,M,71,9705,1997-2005,4315.119977164994
70,pensioner,M,71,post05,Post-2005,4315.119977164994
71,pensioner,M,82,pre97,Pre-1997,3896.1563094736734
71,pensioner,M,82,9705,1997-2005,2922.117232105255
71,pensioner,M,82,post05,Post-2005,2922.117232105255
72,pensioner,M,69,pre97,Pre-1997,1312.1918162589673
72,pensioner,M,69,9705,1997-2005,984.1438621942254
72,pensioner,M,69,post05,Post-2005,984.1438621942254
73,pensioner,M,81,pre97,Pre-1997,5748.174369702109
73,pensioner,M,81,9705,1997-2005,4311.130777276581
73,pensioner,M,81,post05,Post-2005,4311.130777276581
74,pensioner,F,78,pre97,Pre-1997,1038.3904504638585
74,pensioner,F,78,9705,1997-2005,778.7928378478939
74,pensioner,F,78,post05,Post-2005,778.7928378478939
75,pensioner,M,75,pre97,Pre-1997,3358.9434265547775
75,pensioner,M,75,9705,1997-2005,2519.207569916083
75,pensioner,M,75,post05,Post-2005,2519.207569916083
76,pensioner,M,69,pre97,Pre-1997,1364.3830766063736
76,pensioner,M,69,9705,1997-2005,1023.28730745478
76,pensioner,M,69,post05,Post-2005,1023.28730745478
77,pensioner,M,74,pre97,Pre-1997,15227.603305916877
77,pensioner,M,74,9705,1997-2005,11420.702479437656
77,pensioner,M,74,post05,Post-2005,11420.702479437656
78,pensioner,M,64,pre97,Pre-1997,5792.919973350639
78,pensioner,M,64,9705,1997-2005,4344.6899800129795
78,pensioner,M,64,post05,Post-2005,4344.6899800129795
79,pensioner,M,79,pre97,Pre-1997,5850.6337100246565
79,pensioner,M,79,9705,1997-2005,4387.975282518491
79,pensioner,M,79,post05,Post-2005,4387.975282518491
80,pensioner,M,80,pre97,Pre-1997,8542.098234469797
80,pensioner,M,80,9705,1997-2005,6406.573675852346
80,pensioner,M,80,post05,Post-2005,6406.573675852346
81,pensioner,F,65,pre97,Pre-1997,4174.76461466882
81,pensioner,F,65,9705,1997-2005,3131.073461001615
81,pensioner,F,65,post05,Post-2005,3131.073461001615
82,pensioner,F,70,pre97,Pre-1997,2311.3823363184324
82,pensioner,F,70,9705,1997-2005,1733.536752238824
82,pensioner,F,70,post05,Post-2005,1733.536752238824
83,pensioner,M,77,pre97,Pre-1997,2147.560435701021
83,pensioner,M,77,9705,1997-2005,1610.6703267757655
83,pensioner,M,77,post05,Post-2005,1610.6703267757655
84,pensioner,M,75,pre97,Pre-1997,1921.4297955977706
84,pensioner,M,75,9705,1997-2005,1441.072346698328
84,pensioner,M,75,post05,Post-2005,1441.072346698328
85,pensioner,F,92,pre97,Pre-1997,1550.1312796003585
85,pensioner,F,92,9705,1997-2005,1162.5984597002687
85,pensioner,F,92,post05,Post-2005,1162.5984597002687
86,pensioner,M,75,pre97,Pre-1997,3571.4079836420806
86,pensioner,M,75,9705,1997-2005,2678.55598773156
86,pensioner,M,75,post05,Post-2005,2678.55598773156
87,pensioner,M,70,pre97,Pre-1997,9381.452213813332
87,pensioner,M,70,9705,1997-2005,7036.089160359999
87,pensioner,M,70,post05,Post-2005,7036.089160359999
88,pensioner,M,65,pre97,Pre-1997,2361.9712389949505
88,pensioner,M,65,9705,1997-2005,1771.4784292462125
88,pensioner,M,65,post05,Post-2005,1771.4784292462125
89,pensioner,M,71,pre97,Pre-1997,3584.0592034004326
89,pensioner,M,71,9705,1997-2005,2688.0444025503243
89,pensioner,M,71,post05,Post-2005,2688.0444025503243
90,pensioner,M,66,pre97,Pre-1997,7410.613828723497
90,pensioner,M,66,9705,1997-2005,5557.960371542622
90,pensioner,M,66,post05,Post-2005,5557.960371542622
91,pensioner,F,74,pre97,Pre-1997,1976.428938732991
91,pensioner,F,74,9705,1997-2005,1482.321704049743
91,pensioner,F,74,post05,Post-2005,1482.321704049743
92,pensioner,M,81,pre97,Pre-1997,2712.9333811777633
92,pensioner,M,81,9705,1997-2005,2034.700035883322
92,pensioner,M,81,post05,Post-2005,2034.700035883322
93,pensioner,M,62,pre97,Pre-1997,2606.29418391228
93,pensioner,M,62,9705,1997-2005,1954.72063793421
93,pensioner,M,62,post05,Post-2005,1954.72063793421
94,pensioner,F,80,pre97,Pre-1997,9798.778413686305
94,pensioner,F,80,9705,1997-2005,7349.0838102647285
94,pensioner,F,80,post05,Post-2005,7349.0838102647285
95,pensioner,M,78,pre97,Pre-1997,3766.272560736215
95,pensioner,M,78,9705,1997-2005,2824.704420552161
95,pensioner,M,78,post05,Post-2005,2824.704420552161
96,pensioner,M,85,pre97,Pre-1997,1259.6140038206358
96,pensioner,M,85,9705,1997-2005,944.7105028654767
96,pensioner,M,85,post05,Post-2005,944.7105028654767
97,pensioner,M,83,pre97,Pre-1997,6863.30055969557
97,pensioner,M,83,9705,1997-2005,5147.4754197716775
97,pensioner,M,83,post05,Post-2005,5147.4754197716775
98,pensioner,M,68,pre97,Pre-1997,2307.9134763549787
98,pensioner,M,68,9705,1997-2005,1730.9351072662337
98,pensioner,M,68,post05,Post-2005,1730.9351072662337
99,pensioner,F,83,pre97,Pre-1997,10814.2546972241
99,pensioner,F,83,9705,1997-2005,8110.691022918074
99,pensioner,F,83,post05,Post-2005,8110.691022918074
100,pensioner,F,70,pre97,Pre-1997,4888.803311050773
100,pensioner,F,70,9705,1997-2005,3666.6024832880794
100,pensioner,F,70,post05,Post-2005,3666.6024832880794
101,pensioner,M,70,pre97,Pre-1997,297.1555395616717
101,pensioner,M,70,9705,1997-2005,222.8666546712537
101,pensioner,M,70,post05,Post-2005,222.8666546712537
102,pensioner,M,70,pre97,Pre-1997,9497.254874591967
102,pensioner,M,70,9705,1997-2005,7122.941155943974
102,pensioner,M,70,post05,Post-2005,7122.941155943974
103,pensioner,M,76,pre97,Pre-1997,5700.931395299722
103,pensioner,M,76,9705,1997-2005,4275.69854647479
103,pensioner,M,76,post05,Post-2005,4275.69854647479
104,pensioner,M,80,pre97,Pre-1997,1272.6577605524153
104,pensioner,M,80,9705,1997-2005,954.4933204143113
104,pensioner,M,80,post05,Post-2005,954.4933204143113
105,pensioner,M,69,pre97,Pre-1997,6302.059998535678
105,pensioner,M,69,9705,1997-2005,4726.544998901758
105,pensioner,M,69,post05,Post-2005,4726.544998901758
106,pensioner,M,77,pre97,Pre-1997,9012.679195884863
106,pensioner,M,77,9705,1997-2005,6759.509396913647
106,pensioner,M,77,post05,Post-2005,6759.509396913647
107,pensioner,M,72,pre97,Pre-1997,6881.408089683377
107,pensioner,M,72,9705,1997-2005,5161.056067262532
107,pensioner,M,72,post05,Post-2005,5161.056067262532
108,pensioner,F,81,pre97,Pre-1997,3704.6266563814506
108,pensioner,F,81,9705,1997-2005,2778.4699922860877
108,pensioner,F,81,post05,Post-2005,2778.4699922860877
109,pensioner,M,65,pre97,Pre-1997,5959.971674670334
109,pensioner,M,65,9705,1997-2005,4469.978756002751
109,pensioner,M,65,post05,Post-2005,4469.978756002751
110,pensioner,M,75,pre97,Pre-1997,1293.5983238149868
110,pensioner,M,75,9705,1997-2005,970.19874286124
110,pensioner,M,75,post05,Post-2005,970.19874286124
111,pensioner,F,76,pre97,Pre-1997,2912.076218162082
111,pensioner,F,76,9705,1997-2005,2184.0571636215614
111,pensioner,F,76,post05,Post-2005,2184.0571636215614
112,pensioner,M,79,pre97,Pre-1997,1214.765512890188
112,pensioner,M,79,9705,1997-2005,911.0741346676409
112,pensioner,M,79,post05,Post-2005,911.0741346676409
113,pensioner,F,61,pre97,Pre-1997,6173.16749470685
113,pensioner,F,61,9705,1997-2005,4629.875621030137
113,pensioner,F,61,post05,Post-2005,4629.875621030137
114,pensioner,M,77,pre97,Pre-1997,1327.2724134897012
114,pensioner,M,77,9705,1997-2005,995.4543101172758
114,pensioner,M,77,post05,Post-2005,995.4543101172758
115,pensioner,F,70,pre97,Pre-1997,1017.5469212135231
115,pensioner,F,70,9705,1997-2005,763.1601909101423
115,pensioner,F,70,post05,Post-2005,763.1601909101423
116,pensioner,M,64,pre97,Pre-1997,4558.1768601678405
116,pensioner,M,64,9705,1997-2005,3418.6326451258797
116,pensioner,M,64,post05,Post-2005,3418.6326451258797
117,pensioner,F,68,pre97,Pre-1997,6738.311024100757
117,pensioner,F,68,9705,1997-2005,5053.733268075567
117,pensioner,F,68,post05,Post-2005,5053.733268075567
118,pensioner,M,63,pre97,Pre-1997,2627.1142888305512
118,pensioner,M,63,9705,1997-2005,1970.3357166229134
118,pensioner,M,63,post05,Post-2005,1970.3357166229134
119,pensioner,M,61,pre97,Pre-1997,2453.7878606087115
119,pensioner,M,61,9705,1997-2005,1840.3408954565334
119,pensioner,M,61,post05,Post-2005,1840.3408954565334
120,pensioner,M,80,pre97,Pre-1997,7471.44374052713
120,pensioner,M,80,9705,1997-2005,5603.582805395347
120,pensioner,M,80,post05,Post-2005,5603.582805395347
121,pensioner,M,67,pre97,Pre-1997,2938.220475761087
121,pensioner,M,67,9705,1997-2005,2203.665356820815
121,pensioner,M,67,post05,Post-2005,2203.665356820815
122,pensioner,M,69,pre97,Pre-1997,5643.919652282497
122,pensioner,M,69,9705,1997-2005,4232.939739211873
122,pensioner,M,69,post05,Post-2005,4232.939739211873
123,pensioner,F,69,pre97,Pre-1997,6361.60213421008
123,pensioner,F,69,9705,1997-2005,4771.2016006575595
123,pensioner,F,69,post05,Post-2005,4771.2016006575595
124,pensioner,M,90,pre97,Pre-1997,2357.0156979492217
124,pensioner,M,90,9705,1997-2005,1767.7617734619164
124,pensioner,M,90,post05,Post-2005,1767.7617734619164
125,pensioner,F,62,pre97,Pre-1997,5733.888960661071
125,pensioner,F,62,9705,1997-2005,4300.416720495803
125,pensioner,F,62,post05,Post-2005,4300.416720495803
126,pensioner,M,79,pre97,Pre-1997,3285.4037716120847
126,pensioner,M,79,9705,1997-2005,2464.0528287090633
126,pensioner,M,79,post05,Post-2005,2464.0528287090633
127,pensioner,F,60,pre97,Pre-1997,1252.43149268601
127,pensioner,F,60,9705,1997-2005,939.3236195145074
127,pensioner,F,60,post05,Post-2005,939.3236195145074
128,pensioner,M,81,pre97,Pre-1997,4747.531804355459
128,pensioner,M,81,9705,1997-2005,3560.648853266594
128,pensioner,M,81,post05,Post-2005,3560.648853266594
129,pensioner,M,70,pre97,Pre-1997,2911.5390423007466
129,pensioner,M,70,9705,1997-2005,2183.6542817255595
129,pensioner,M,70,post05,Post-2005,2183.6542817255595
130,pensioner,M,66,pre97,Pre-1997,2419.1894330693035
130,pensioner,M,66,9705,1997-2005,1814.3920748019775
130,pensioner,M,66,post05,Post-2005,1814.3920748019775
131,pensioner,F,73,pre97,Pre-1997,4069.611890406428
131,pensioner,F,73,9705,1997-2005,3052.208917804821
131,pensioner,F,73,post05,Post-2005,3052.208917804821
132,pensioner,F,75,pre97,Pre-1997,10531.004086066885
132,pensioner,F,75,9705,1997-2005,7898.253064550163
132,pensioner,F,75,post05,Post-2005,7898.253064550163
133,pensioner,M,85,pre97,Pre-1997,2020.4923306549365
133,pensioner,M,85,9705,1997-2005,1515.3692479912022
133,pensioner,M,85,post05,Post-2005,1515.3692479912022
134,pensioner,M,72,pre97,Pre-1997,15975.993530989637
134,pensioner,M,72,9705,1997-2005,11981.995148242228
134,pensioner,M,72,post05,Post-2005,11981.995148242228
135,pensioner,F,75,pre97,Pre-1997,455.91493787609147
135,pensioner,F,75,9705,1997-2005,341.93620340706855
135,pensioner,F,75,post05,Post-2005,341.93620340706855
136,pensioner,M,73,pre97,Pre-1997,1269.5499574811697
136,pensioner,M,73,9705,1997-2005,952.1624681108772
136,pensioner,M,73,post05,Post-2005,952.1624681108772
137,pensioner,M,79,pre97,Pre-1997,3996.791614105738
137,pensioner,M,79,9705,1997-2005,2997.593710579303
137,pensioner,M,79,post05,Post-2005,2997.593710579303
138,pensioner,F,69,pre97,Pre-1997,7243.235063202337
138,pensioner,F,69,9705,1997-2005,5432.426297401753
138,pensioner,F,69,post05,Post-2005,5432.426297401753
139,pensioner,M,77,pre97,Pre-1997,2291.3058724903126
139,pensioner,M,77,9705,1997-2005,1718.479404367734
139,pensioner,M,77,post05,Post-2005,1718.479404367734
140,pensioner,M,80,pre97,Pre-1997,3740.6444775353684
140,pensioner,M,80,9705,1997-2005,2805.483358151526
140,pensioner,M,80,post05,Post-2005,2805.483358151526
141,pensioner,M,80,pre97,Pre-1997,6376.962922695238
141,pensioner,M,80,9705,1997-2005,4782.722192021429
141,pensioner,M,80,post05,Post-2005,4782.722192021429
142,pensioner,M,71,pre97,Pre-1997,6264.436554725767
142,pensioner,M,71,9705,1997-2005,4698.327416044324
142,pensioner,M,71,post05,Post-2005,4698.327416044324
143,pensioner,F,74,pre97,Pre-1997,5922.982886953514
143,pensioner,F,74,9705,1997-2005,4442.237165215135
143,pensioner,F,74,post05,Post-2005,4442.237165215135
144,pensioner,F,77,pre97,Pre-1997,1939.0280340992229
144,pensioner,F,77,9705,1997-2005,1454.271025574417
144,pensioner,F,77,post05,Post-2005,1454.271025574417
145,pensioner,M,62,pre97,Pre-1997,1443.2315804354048
145,pensioner,M,62,9705,1997-2005,1082.4236853265534
145,pensioner,M,62,post05,Post-2005,1082.4236853265534
146,pensioner,M,72,pre97,Pre-1997,5792.36467235805
146,pensioner,M,72,9705,1997-2005,4344.273504268537
146,pensioner,M,72,post05,Post-2005,4344.273504268537
