year,own_pension,spouse_pension,total
1,15412540.922777463,193107.69539537284,15605648.618172836
2,15314054.955500573,383769.848495599,15697824.803996172
3,15290785.443876574,572285.5539628625,15863070.997839436
4,15317705.295726009,757513.9752917137,16075219.271017723
5,15333328.54225424,938262.2435982625,16271590.785852501
6,15374692.017674448,1113542.4491766072,16488234.466851056
7,15607688.294850666,1286323.650105892,16894011.94495656
8,15957640.549351785,1454906.2944440087,17412546.843795795
9,16601519.405131042,1623133.9999074044,18224653.405038446
10,17256753.700245112,1785772.2070185717,19042525.907263685
11,17733824.570015766,1935874.3052578224,19669698.87527359
12,18145240.148103476,2075757.2031328522,20220997.35123633
13,18659657.347274218,2210383.980773883,20870041.328048103
14,18945380.523244847,2329547.728314398,21274928.251559243
15,19236265.49196376,2439861.38163737,21676126.87360113
16,19501576.53838055,2539656.0188080687,22041232.557188615
17,19766853.824238792,2628596.6577028576,22395450.481941648
18,19899733.324720766,2705936.9431330943,22605670.26785386
19,20058558.069921594,2774111.38924951,22832669.459171105
20,19963599.598206434,2827773.879152995,22791373.47735943
21,19737428.666414477,2869103.5204482363,22606532.186862715
22,19486654.989209358,2902166.7846771046,22388821.77388646
23,19170240.73106473,2927251.064346861,22097491.79541159
24,18708689.27130238,2941710.570036415,21650399.841338795
25,18328781.552260235,2952204.727454893,21280986.27971513
26,17797656.84938933,2954809.0718625193,20752465.92125185
27,17184715.387774326,2950415.375694639,20135130.763468966
28,16567152.248811124,2941619.9436703674,19508772.19248149
29,15944806.425030809,2928662.572204673,18873468.99723548
30,15317281.615930194,2911646.72805912,18228928.343989313
31,14684237.68959042,2890508.2716366025,17574745.961227022
32,14045462.992030153,2864963.5295270723,16910426.521557227
33,13400856.14914318,2834546.3073787903,16235402.45652197
34,12750349.660867965,2798702.800735333,15549052.461603299
35,12093758.87956821,2756930.310192858,14850689.189761069
36,11431188.231863583,2708697.385224738,14139885.617088322
37,10763367.480603227,2653413.9528253493,13416781.433428576
38,10091606.524315434,2590474.5596637162,12682081.08397915
39,9417588.376675937,2519378.1498226114,11936966.526498549
40,8743829.64474132,2439767.0315358746,11183596.676277194
41,8073339.2763087405,2351530.776583503,10424870.052892243
42,7409577.905404124,2254710.718120641,9664288.623524766
43,6756302.221858341,2149679.985447931,8905982.207306273
44,6117609.617829508,2037050.1309280405,8154659.748757549
45,5497588.250016946,1917693.088071655,7415281.338088602
46,4900568.180801218,1792693.7063670212,6693261.88716824
47,4330818.033281151,1663299.7443849314,5994117.777666083
48,3792198.0482763434,1530905.6961696078,5323103.744445952
49,3288083.0632669013,1397042.9133799614,4685125.976646863
50,2821372.9656405197,1263303.1282587277,4084676.0938992472
51,2394004.0635569356,1131302.0741228794,3525306.1376798153
52,2007264.2167027888,1002588.6184383284,3009852.835141117
53,1661683.7752712774,878650.7650036233,2540334.540274901
54,1356951.9299569381,760848.2541577942,2117800.1841147323
55,1091979.2801280317,650374.8312181471,1742354.1113461787
56,864967.8510718051,548254.0452836001,1413221.8963554052
57,673536.4722039716,455276.75380892295,1128813.2260128944
58,514836.4619861061,371979.23911621055,886815.7011023166
59,385669.92127674655,298624.02751328284,684293.9487900294
60,282602.93600424734,235199.46152613894,517802.3975303863
61,202111.9109889035,181445.56450424,383557.4754931435
62,140706.6468162249,136871.41230693887,277578.0591231638
63,95052.6486502375,100757.73069026071,195810.3793404982
64,62045.274613990376,72229.62672867133,134274.9013426617
65,38938.22737798815,50298.10379155676,89236.33116954491
66,23331.535987745516,33922.596250234186,57254.132237979706
67,13235.386899681122,22081.385632566282,35316.7725322474
68,7040.619104305077,13814.898662914564,20855.51776721964
69,3471.6409813444134,8262.708432504574,11734.349413848988
70,1564.5235940598236,4692.164449983148,6256.688044042972
